ID;River;Station;ix1;iy1;ix2;iy2;minRMSE(open-loop);minBias(open-loop);minNSE(open-loop);minKGE(open-loop);minCC(open-loop);minBR(open-loop);minRV(open-loop);minKGED(open-loop);meanRMSE(open-loop);meanBias(open-loop);meanNSE(open-loop);meanKGE(open-loop);meanCC(open-loop);meanBR(open-loop);meanRV(open-loop);meanKGED(open-loop);maxRMSE(open-loop);maxBias(open-loop);maxNSE(open-loop);maxKGE(open-loop);maxCC(open-loop);maxBR(open-loop);maxRV(open-loop);maxKGED(open-loop);VS_count
4113400;SOURIS;NEAR BANTRY, ND;296;66;-9999;-9999;1.5492076950933413;1.4229986572265716;-6398807.101841565;-0.6412887098446922;-0.31109420398585297;0.9918926134880527;0.003794939146221434;-0.6412852658042147;1.8627767543358598;1.7350008544921895;-2313869.3288574303;-0.3715515127508217;0.14271474913572565;0.9971447625126276;0.021803615965949454;-0.3715378228270141;2.3842151189560385;2.136004516601531;-61469.76305930521;-0.006608756319748332;0.8558787478792395;1.0033623381213697;0.04896048488536688;-0.006576106702089746;3
4113401;SOURIS;NEAR VERENDRYE, ND;293;69;-9999;-9999;1.5492076950933413;1.4229986572265716;-6398807.101841565;-0.6412887098446922;-0.31109420398585297;0.9918926134880527;0.003794939146221434;-0.6412852658042147;1.8627767543358598;1.7350008544921895;-2313869.3288574303;-0.3715515127508217;0.14271474913572565;0.9971447625126276;0.021803615965949454;-0.3715378228270141;2.3842151189560385;2.136004516601531;-61469.76305930521;-0.006608756319748332;0.8558787478792395;1.0033623381213697;0.04896048488536688;-0.006576106702089746;3
4113402;SOURIS;ABOVE MINOT, ND;286;68;-9999;-9999;1.5492076950933413;1.4229986572265716;-6398807.101841565;-0.6412887098446922;-0.31109420398585297;0.9918926134880527;0.003794939146221434;-0.6412852658042147;1.8627767543358598;1.7350008544921895;-2313869.3288574303;-0.3715515127508217;0.14271474913572565;0.9971447625126276;0.021803615965949454;-0.3715378228270141;2.3842151189560385;2.136004516601531;-61469.76305930521;-0.006608756319748332;0.8558787478792395;1.0033623381213697;0.04896048488536688;-0.006576106702089746;3
4113600;LITTLE FORK;LITTLEFORK, MINN.;365;67;-9999;-9999;0.9919957790587425;0.5442489318847379;-1989763.7866480995;-0.6396108606876916;-0.3154829072910744;1.0016732348915816;0.021318287629773117;-0.6396076279106833;1.1826327604601021;0.9053276426081235;-757310.5586712196;-0.4496666137053547;-0.14207577747533093;1.0027815499662873;0.10994073565647611;-0.44966368573347376;1.4789155656058912;1.1197348504317688;-115687.34912638203;-0.2748476551005927;0.055754602120333265;1.003415500061239;0.16502333339743425;-0.27484307978464995;3
4114615;TURGEON, RIVIERE;EN AMONT DE LA RIVIERE HARRICANA;510;51;-9999;-9999;0.754414395937375;0.32889119466142347;-147518.0712991862;-0.9031710351635795;-0.6341297090699063;0.9987190161050703;0.024459922862737935;-0.9031706040620404;0.754414395937375;0.32889119466142347;-147518.0712991862;-0.9031710351635795;-0.6341297090699063;0.9987190161050703;0.024459922862737935;-0.9031706040620404;0.754414395937375;0.32889119466142347;-147518.0712991862;-0.9031710351635795;-0.6341297090699063;0.9987190161050703;0.024459922862737935;-0.9031706040620404;1
4115080;COWLITZ;CASTLE ROCK, WA;72;88;-9999;-9999;2.9678869757101576;2.9615383441631735;-311368.84573050495;-0.4533462701555655;-0.3471819059422906;0.9161232245502952;0.13353552781527026;-0.45310827138203824;9.434095403335796;9.426125407074943;-223981.54780438496;-0.020786532379941658;0.2606521227410567;0.9667917022215188;0.3695773841681855;-0.01906028605517855;21.945404772923144;21.940836690266934;-71359.06289815225;0.43713151646278425;0.7093305168339031;1.0263008101814113;0.5198291252441036;0.4387043404694023;3
4115081;COWLITZ;BELOW MAYFIELD DAM, WA;74;85;-9999;-9999;2.9678869757101576;2.9615383441631735;-311368.84573050495;-0.4533462701555655;-0.3471819059422906;0.9161232245502952;0.13353552781527026;-0.45310827138203824;9.434095403335796;9.426125407074943;-223981.54780438496;-0.020786532379941658;0.2606521227410567;0.9667917022215188;0.3695773841681855;-0.01906028605517855;21.945404772923144;21.940836690266934;-71359.06289815225;0.43713151646278425;0.7093305168339031;1.0263008101814113;0.5198291252441036;0.4387043404694023;3
4115100;WILLAMETTE;SALEM, OR;70;101;-9999;-9999;1.5105337559194425;0.35897977867904984;-40273.237353296;-0.8294181201358672;-0.4198109028476209;0.5275579470660241;0.135325443550045;-0.7673622053503861;4.721590743461349;4.461528071567107;-5983.431114989462;-0.3140870150886472;-0.07265288753211618;1.0805924378236977;0.7301216432474196;-0.2913252906089724;8.311100896449409;8.21177780066596;-84.6975993712187;0.16659648948504224;0.6539962363699803;1.4295271581775033;2.4433689556878804;0.21020835983477681;10
4115101;WILLAMETTE;PORTLAND, OR;74;95;-9999;-9999;1.5105337559194425;0.35897977867904984;-2764.7720214371493;-1.3192856427380324;-0.4198109028476209;0.5275579470660241;0.135325443550045;-0.7673622053503861;5.021556372842422;4.742721500002109;-959.561953617335;-0.38302844937220315;0.027135932706918844;1.297062469325901;0.6931730521337374;-0.2657801815768331;8.311100896449409;8.21177780066596;-3.7235217753282033;0.16659648948504224;0.8461756337414693;2.7608967922928294;2.4433689556878804;0.21020835983477681;9
4115102;WILLAMETTE;HARRISBURG, OR;69;109;-9999;-9999;1.5105337559194425;0.35897977867904984;-40273.237353296;-0.8294181201358672;-0.4198109028476209;0.5275579470660241;0.12722573613522303;-0.7673622053503861;5.042524335321176;4.782073163502806;-6812.307834395184;-0.3119555528981223;-0.06089949710701949;1.0641300111641534;0.7184331428636144;-0.2893430797417513;10.100910652347038;10.031333374023433;-84.6975993712187;0.16659648948504224;0.6539962363699803;1.4295271581775033;2.4433689556878804;0.21020835983477681;10
